timestamp,event_type,risk_score,details
2026-08-29T03:25:41,DISTRACTION,45,"{""ear"": 0.326, ""mar"": 0.02, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -173.3, ""yaw"": 0.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:25:43,NO_SEATBELT,20,"{""ear"": 0.491, ""mar"": 0.017, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -174.6, ""yaw"": 4.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:25:44,PHONE,80,"{""ear"": 0.469, ""mar"": 0.016, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -172.8, ""yaw"": 2.0, ""phone"": true, ""seatbelt"": false}"
2026-08-29T03:25:46,DISTRACTION,45,"{""ear"": 0.419, ""mar"": 0.003, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -174.8, ""yaw"": -3.8, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:25:49,NO_SEATBELT,45,"{""ear"": 0.455, ""mar"": 0.02, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -176.1, ""yaw"": -3.4, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:25:51,PHONE,80,"{""ear"": 0.467, ""mar"": 0.005, ""head_direction"": ""LOOKING LEFT"", ""pitch"": -177.7, ""yaw"": -23.8, ""phone"": true, ""seatbelt"": false}"
2026-08-29T03:25:51,DISTRACTION,80,"{""ear"": 0.448, ""mar"": 0.005, ""head_direction"": ""LOOKING LEFT"", ""pitch"": -177.0, ""yaw"": -23.9, ""phone"": true, ""seatbelt"": false}"
2026-08-29T03:25:56,DISTRACTION,45,"{""ear"": 0.43, ""mar"": 0.014, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -175.8, ""yaw"": -11.6, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:26:01,DISTRACTION,45,"{""ear"": 0.374, ""mar"": 0.012, ""head_direction"": ""LOOKING DOWN"", ""pitch"": -167.4, ""yaw"": -1.3, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:40:40,DISTRACTION,45,"{""ear"": 0.265, ""mar"": 0.001, ""head_direction"": ""LOOKING UP"", ""pitch"": 174.7, ""yaw"": 13.1, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:40:44,DROWSINESS,90,"{""ear"": 0.144, ""mar"": 0.03, ""head_direction"": ""LOOKING UP"", ""pitch"": 173.2, ""yaw"": -8.5, ""phone"": false, ""seatbelt"": false}"
2026-08-29T03:40:45,DISTRACTION,45,"{""ear"": 0.315, ""mar"": 0.013, ""head_direction"": ""LOOKING UP"", ""pitch"": 169.6, ""yaw"": -10.8, ""phone"": false, ""seatbelt"": false}"
